parser,dataset,mean_mask_agreement,token_parsing_accuracy,fit_duration,predict_mask_duration,total_duration
drain,hpc,0.7843887687578588,0.794982438534872,0.18270381540060043,0.2727529928088188,0.45545680820941925
drain,zookeeper,0.9686681058667682,0.9861581566511939,0.24641241133213043,0.36256406642496586,0.6089764777570963
drain,android,0.17713232344436292,0.041759880686055184,9.139720598235726,17.41460883244872,26.554329430684447
drain,apache,0.5014011814353981,0.18652922903134708,0.09483775310218334,0.12026112340390682,0.21509887650609016
drain,hadoop,0.8247263698399344,0.7150970809668472,9.324506713077426,13.864979337900877,23.189486050978303
drain,hdfs,0.7752904301377734,0.7171349049807861,8881.334763165563,17966.62995936349,26847.964722529054
drain,linux,0.8594167088012585,0.868580744497781,0.17582659050822258,0.23881628178060055,0.4146428722888231
drain,openstack,0.7388269247238158,0.11832143010491061,1.7168530113995075,2.011159997433424,3.7280130088329315
drain,proxifier,0.6161796742714453,0.004795557799091368,0.12027273140847683,0.16323223896324635,0.2835049703717232
drain,ssh,0.9827103642364519,0.9064451224179597,1.3405218310654163,1.8194342646747828,3.159956095740199
