parser,dataset,mean_mask_agreement,token_parsing_accuracy,fit_duration,predict_mask_duration,total_duration
spell,hpc,0.7725791534596692,0.6011038635223281,3.9198115915060043,8.162023544311523,12.081835135817528
spell,zookeeper,0.9513186051674615,0.9173253042278259,3.242388192564249,4.120385212823749,7.362773405387998
spell,android,0.34519687632893725,0.30593531637528654,21.011354265734553,36.27391756698489,57.285271832719445
spell,apache,0.3610272924925138,0.18518780005648122,1.2970589250326157,1.7285792417824268,3.0256381668150425
spell,hadoop,0.8885907669075244,0.8354246466781139,55.76013832166791,75.58724489249289,131.3473832141608
spell,hdfs,0.8376004393778667,0.7238582624214865,6728.0307473335415,8660.340105114505,15388.370852448046
spell,linux,0.8593943013040357,0.8665881713612897,4.050112176686525,7.019977496936917,11.070089673623443
spell,openstack,0.6999892034627851,0.05893171506676781,74.56610115431249,128.9548049699515,203.520906124264
spell,proxifier,0.6180429343727533,0.07193336698637053,0.8115572687238455,1.5173579026013613,2.3289151713252068
spell,ssh,0.7864276331649003,0.22641034893765924,23.827300457283854,30.744658520445228,54.57195897772908
