Method,1/1024,1/512,1/256,1/128,1/64,1/32,1/16,1/8,1/4,1/2,1/1
AEL,0.17,0.27,0.48,0.92,2.10,3.60,7.06,13.38,28.69,58.08,119.08
Brain,0.16,0.33,0.71,1.35,2.70,6.03,12.12,23.45,46.38,95.54,191.24
Drain,0.02,0.03,0.06,0.14,0.31,0.57,1.38,2.79,5.71,9.90,25.61
Iplom,0.04,0.07,0.14,0.28,0.57,1.40,3.07,6.06,10.61,19.46,39.52
Lenma,1.34,3.06,6.70,12.60,26.86,57.47,126.78,244.08,470.02,1660.49,OTL
Pliplom,0.76,1.33,1.06,1.20,1.44,1.47,1.59,1.89,2.39,3.07,4.73
Spell,0.27,0.61,1.26,3.25,6.26,14.33,32.68,75.75,164.32,364.17,1556.72
Tipping,0.01,0.02,0.03,0.07,0.09,0.24,0.52,0.99,2.07,3.62,7.69
